user;date;text;favorite_count;retweet_count;retweeter_usr
cavemeat;Wed Feb 16 23:59:59 +0000 2022;RT @cnnbrk: Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https:/…;0;425;AP
latham_s;Wed Feb 16 23:59:59 +0000 2022;RT @BlackerUilleam: Anyone who wants to understand what Russia has put Ukraine through over the last 8 years should read the new Ukrainian…;0;1263;AP
dandeluce;Wed Feb 16 23:59:58 +0000 2022;RT @NBCInvestigates: If Russia launches an invasion of Ukraine, millions of Ukrainians could try to flee to neighboring countries, Eastern…;0;3;AP
FABRCARV;Wed Feb 16 23:59:57 +0000 2022;RT @cnnbrk: Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https:/…;0;425;AP
TarasDonbass;Wed Feb 16 23:59:56 +0000 2022;"RT @GermanAmbUSA: Ukraine has the sovereign right to seek NATO membership, to choose its course.

We will not guarantee otherwise to Russia.";0;2044;AP
spacema09104056;Wed Feb 16 23:59:56 +0000 2022;"RT @THoutkooper: BREAKING! Putin: US Wants To Put Hypersonic Missiles In Ukraine! Russia Has ""Nowhere To Retreat""!
🤔👇
https://t.co/dn6HAM9j…";0;1;AP
Fcosta223;Wed Feb 16 23:59:55 +0000 2022;RT @OccupyDemocrats: BREAKING: The Biden administration announces that Russia has added as many as 7,000 troops to the Ukraine border in re…;0;625;AP
kathrynrosenew;Wed Feb 16 23:59:55 +0000 2022;RT @zoeharcombe: While all eyes are on Russia and Ukraine, Trudeau has declared war on his fellow Canadians.;0;1959;AP
SerendipitySays;Wed Feb 16 23:59:55 +0000 2022;"RT @itvpeston: “We don’t trust this and we are not going to invade”

Ukrainian Ambassador to the UK @VPrystaiko responds to @Dpol_un’s sugg…";0;5;AP
HumblePsycho__;Wed Feb 16 23:59:55 +0000 2022;RT @CNN: Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https://t.…;0;120;AP
cneyt96633712;Wed Feb 16 23:59:55 +0000 2022;RT @CNN: Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https://t.…;0;120;AP
Cleuza2021;Wed Feb 16 23:59:54 +0000 2022;"RT @ChristopherJM: Senior admin official: Russia could use false pretext to invade Ukraine ""at any time."" US has seen increase of false cla…";0;127;AP
JakeC80503952;Wed Feb 16 23:59:54 +0000 2022;"RT @GermanAmbUSA: Ukraine has the sovereign right to seek NATO membership, to choose its course.

We will not guarantee otherwise to Russia.";0;2044;AP
Bexbel;Wed Feb 16 23:59:54 +0000 2022;"RT @trussliz: Ahead of her visit to the UK, I updated @NanaiaMahuta on the current Russia-Ukraine situation.

We both agreed that it’s impo…";0;65;AP
MehtaSuman29;Wed Feb 16 23:59:53 +0000 2022;RT @MuradGazdiev: The Russian Foreign Ministry has called on Western media outlets to publish a full list of dates on which Russia will inv…;0;7614;AP
upuouo;Wed Feb 16 23:59:53 +0000 2022;"RT @Joyce_Karam: BREAKING: US says #Russia’s claim of withdrawing some troops from #Ukraine border is False.

US accuses Moscow instead of…";0;172;AP
SerendipitySays;Wed Feb 16 23:59:53 +0000 2022;"RT @itvpeston: “It could come from anywhere - United States, Europe, from Ukraine itself”

Russian Deputy UN Ambassador @Dpol_un tells @Pes…";0;4;AP
sequoia2001;Wed Feb 16 23:59:52 +0000 2022;RT @alexrblackwell: “Instead, Ukrainian intelligence believes that Russia has focused its efforts on ‘destabilizing Ukraine's internal situ…;0;1;AP
satoshi8928;Wed Feb 16 23:59:52 +0000 2022;RT @kazue_fgeewara: 今回のウクライナ情勢を終始冷静に見ていたTTF欧州天然ガス先物価格が遂に70ドルの下値支持線を破り60ドル台に突入しました。WTI原油先物価格が95ドル付近まで上昇した今、プーチンは欧州天然ガス価格を無理して高騰させる必要はなくなりました…;0;69;AP
AnnecresswellC;Wed Feb 16 23:59:52 +0000 2022;RT @OccupyDemocrats: BREAKING: The Biden administration announces that Russia has added as many as 7,000 troops to the Ukraine border in re…;0;625;AP
ScoobyLady27;Wed Feb 16 23:59:52 +0000 2022;RT @OccupyDemocrats: BREAKING: The Biden administration announces that Russia has added as many as 7,000 troops to the Ukraine border in re…;0;625;AP
ArtMusicLife;Wed Feb 16 23:59:50 +0000 2022;"RT @BarakRavid: BREAKING: Israel told Russia ahead of a possible invasion of Ukraine it will need help in evacuating its citizens &amp; diploma…";0;184;AP
TPolehn;Wed Feb 16 23:59:50 +0000 2022;"RT @IntelDoge: U.S. government official tells NBC that #Russia's claim of withdrawing from the #Ukraine border is false. 

""We now know it…";0;60;AP
SerendipitySays;Wed Feb 16 23:59:48 +0000 2022;"RT @itvpeston: “Of course it’s important, Ukraine not joining Nato…but the picture is much bigger than Ukraine alone”

Russian Deputy UN Am…";0;3;AP
GrumpyKelson;Wed Feb 16 23:59:47 +0000 2022;RT @AP: BREAKING: Russia has added as many as 7,000 troops near the Ukraine border in recent days, contrary to claims by President Vladimir…;0;387;AP
HyangmiO;Wed Feb 16 23:59:46 +0000 2022;"RT @lisamurkowski: There is a lot to understand about the crisis in Ukraine. How an invasion could lead to catastrophic escalation &amp; loss o…";0;8;AP
IceT1158;Wed Feb 16 23:59:45 +0000 2022;RT @mehdirhasan: What's this? Ukraine's government treating NATO membership as part of this crisis, and trying out ways of resolving it? Ev…;0;14;AP
GeorgeGoodall10;Wed Feb 16 23:59:44 +0000 2022;RT @AWMCheung: Why Russia isn’t about to invade Ukraine soon https://t.co/GJ0tklSb9l some interesting points for consideration;0;4;AP
typolinb;Wed Feb 16 23:59:43 +0000 2022;RT @kwelkernbc: Senior Administration Official on Russian claims it’s withdrawing troops from the border with Ukraine: “We now know it was…;0;222;AP
Lisaaw12;Wed Feb 16 23:59:42 +0000 2022;RT @kaitlancollins: Not only is Russia not withdrawing forces from Ukraine's border, but a senior admin official says the Kremlin has added…;0;711;AP
RodBamberry;Wed Feb 16 23:59:42 +0000 2022;RT @JenniferJJacobs: The Kremlin’s claims this week that it had begun to remove troops from Ukraine’s borders were false, senior U.S. admin…;0;199;AP
EdwardTravers17;Wed Feb 16 23:59:41 +0000 2022;RT @CNN: Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https://t.…;0;120;AP
robert_slager;Wed Feb 16 23:59:41 +0000 2022;RT @cnnbrk: Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https:/…;0;425;AP
TrevorW23939124;Wed Feb 16 23:59:40 +0000 2022;RT @cnnbrk: Russia has added about 7,000 troops along Ukraine's border, despite claims of pullback, US administration official says https:/…;0;425;AP
