user;date;text;favorite_count;retweet_count;retweeter_usr
Dakshamehta033;Mon Feb 14 23:59:59 +0000 2022;RT @catoletters: We have proof Russia is invading the Ukraine.  We must act now. https://t.co/bVBsuspWwZ;0;7;SavvyRinu
Neety55;Mon Feb 14 23:59:59 +0000 2022;"RT @OzraeliAvi: Putin and Russia are not the real threat. 

Trudeau is.

Ukraine is just a distraction.";0;1914;SavvyRinu
Chances4Paws;Mon Feb 14 23:59:57 +0000 2022;RT @robertjdenault: If Russia goes to war and attacks Ukraine, a sovereign democracy, many will play blame game. But remember: it’s not Bid…;0;269;SavvyRinu
GhostOfLuv3;Mon Feb 14 23:59:57 +0000 2022;RT @AndyOstroy: Who else is utterly bored with #Putin's masturbatory 'will he or won't he' global jerk? What a sick, twisted, insecure need…;0;42;SavvyRinu
ofelizzola;Mon Feb 14 23:59:56 +0000 2022;RT @spectatorindex: BREAKING: Downing Street says there is still a 'crucial window for diplomacy' over Russia-Ukraine tensions;0;150;SavvyRinu
wfamily4;Mon Feb 14 23:59:55 +0000 2022;RT @IAmPoliticsGirl: Russia/Ukraine: An Analogy. https://t.co/pAnnpbq6gL;0;1972;SavvyRinu
mcdelle;Mon Feb 14 23:59:54 +0000 2022;RT @MarinaMedvin: Let’s play: which news story is this, Russia vs. Ukraine or Canada vs. People? https://t.co/l1N5wd3cWy;0;1943;SavvyRinu
Kid_Eclipse;Mon Feb 14 23:59:54 +0000 2022;RT @MarinaMedvin: Let’s play: which news story is this, Russia vs. Ukraine or Canada vs. People? https://t.co/l1N5wd3cWy;0;1943;SavvyRinu
Sheilabgood;Mon Feb 14 23:59:54 +0000 2022;RT @JoeSquawk: Russia/Ukraine. China/Taiwan. Nuclear Iran. Biden/Dem focus? Climate “emergency”. Perfect.;0;50;SavvyRinu
Okanagan_Mom;Mon Feb 14 23:59:54 +0000 2022;RT @EvanLSolomon: BREAKING: @JustinTrudeau also announces a new 500 million dollar loan to Ukraine and 7.5 million dollars of “lethal weapo…;0;426;SavvyRinu
whocastillo;Mon Feb 14 23:59:52 +0000 2022;RT @AaronParnas: Under no circumstances should the United States concede to Russia and prevent Ukraine from joining NATO.;0;189;SavvyRinu
samantharenck;Mon Feb 14 23:59:52 +0000 2022;RT @DailyCaller: ‘That’s Not How We Treat Americans’: Morgan Ortagus Slams Biden’s Handling Of Ukraine https://t.co/P7WRVCAco7;0;12;SavvyRinu
OpenlyClassist;Mon Feb 14 23:59:51 +0000 2022;"RT @Antiwarcom: Pentagon Orders 160 National Guard Troops Out of Ukraine
The US also ordered diplomats and its OSCE monitors to leave Ukrai…";0;12;SavvyRinu
dlaier63;Mon Feb 14 23:59:51 +0000 2022;"RT @OzraeliAvi: Putin and Russia are not the real threat. 

Trudeau is.

Ukraine is just a distraction.";0;1914;SavvyRinu
MakiyYemen;Mon Feb 14 23:59:50 +0000 2022;RT @mohmmed_s_m: الغارديان: معلومات استخباراتية بريطانية جديدة تشير إلى تحرك 14 كتيبة روسية قوام كل منها 800 جندي إلى حدود #أوكرانيا. https…;0;3;SavvyRinu
avgorou;Mon Feb 14 23:59:49 +0000 2022;"RT @davidkurten: Russia: We're not invading Ukraine
Ukraine: Russia is not invading Ukraine
Biden/Johnson/MSM: War on Wednesday. 
REJECT th…";0;1503;SavvyRinu
MrTAchilles;Mon Feb 14 23:59:48 +0000 2022;RT @TomJChicago: An invasion and occupation of all of Ukraine, requires far more troops than the 135,000 that Russia currently has assemble…;0;202;SavvyRinu
DebScot5graces;Mon Feb 14 23:59:47 +0000 2022;RT @NatashaBertrand: The Biden admin is weighing offering up to $1 billion in loan guarantees to Ukraine “as part of the additional macroec…;0;441;SavvyRinu
tajifami2001;Mon Feb 14 23:59:47 +0000 2022;"RT @steco_shimizu: Putin On Ukraine: Our Security Is Our Priority; NATO Expansion Is Unacceptable, An Attempt To Divide Russia; How Would A…";0;5;SavvyRinu
