user;date;text;favorite_count;retweet_count;retweeter_usr
lalitapetila;Thu Feb 10 23:59:59 +0000 2022;"RT @SocialistAnyDay: The people of Russia are not the enemy.
The people of Ukraine are not the enemy.
War is the enemy. #StopTheWar";0;106;euronews
jaraparilla;Thu Feb 10 23:59:59 +0000 2022;RT @kennardmatt: Britain has spent £80m of public money on the media in 20 countries bordering or near Russia. The main programme—centred o…;0;570;euronews
BethRea5;Thu Feb 10 23:59:58 +0000 2022;RT @yarotrof: So Minsk-2 talks between Ukraine and Russia in Berlin fail after nine hours of discussions, and no new senior-level meeting i…;0;187;euronews
Red_octubre;Thu Feb 10 23:59:58 +0000 2022;RT @JenniferJJacobs: “American citizens should leave now,” Biden told @LesterHoltNBC on Ukraine, due to Russian troops on border. “We’re de…;0;153;euronews
janrobinjackson;Thu Feb 10 23:59:56 +0000 2022;RT @JCBua: As Biden Might Say “No Joke” Lester Holt asked Biden what scenario could prompt him to send troops to rescue Americans fleeing t…;0;12;euronews
HateTheMachine;Thu Feb 10 23:59:56 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;0;2267;euronews
VadareaS;Thu Feb 10 23:59:54 +0000 2022;RT @DaveBondyTV: President Biden telling Americans who are in Ukraine to leave now.  He said if a war breaks out with Russia the United Sta…;0;13;euronews
shiinaminoru;Thu Feb 10 23:59:52 +0000 2022;RT @t_gordau: 「フィンランド化」は中立と引換えに独立を維持したと肯定的に評価されがちで、今回もウに適用すべきとの声もあるが、フィンランド人にとっては、独立の代償として（自己）検閲やソ連介入を受けた否定的な記憶で、侮辱的意味を持っていると。専門家や街の人への聞き取り…;0;762;euronews
VolunterCountry;Thu Feb 10 23:59:44 +0000 2022;RT @Osinttechnical: KYIV, Feb 11 (Reuters) - Nearly nine hours of talks between Ukraine and Russia on Thursday failed to produce a breakthr…;0;95;euronews
wildkippers;Thu Feb 10 23:59:43 +0000 2022;RT @br_nning: Truss made fool of herself today: Lavrov asked her if she recognises “Russia’s sovereignty over the Rostov and Voronezh regio…;0;887;euronews
kwaku_j;Thu Feb 10 23:59:40 +0000 2022;RT @BreakingNews: When asked what scenario could prompt him to send troops to rescue Americans fleeing the country, President Biden replied…;0;49;euronews
PatriziaOrlan11;Thu Feb 10 23:59:39 +0000 2022;"RT @TravelGov: Ukraine: Do not travel to Ukraine due to increased threats of Russian military action &amp; COVID; those in Ukraine should depar…";0;200;euronews
Tracyingod;Thu Feb 10 23:59:39 +0000 2022;"RT @CNNSitRoom: ""The US Government will not be in a position to evacuate civilians."" - @RepJasonCrow talks with @Acosta about Russia's buil…";0;60;euronews
ShawnHJohnson1;Thu Feb 10 23:59:38 +0000 2022;RT @anders_aslund: All reported indications suggest that Russia is preparing a major military assault on Ukraine: Maneuvers in Belarus Febr…;0;449;euronews
Paul4Labour;Thu Feb 10 23:59:35 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;0;2267;euronews
need_history;Thu Feb 10 23:59:33 +0000 2022;"RT @owhy3: Ray McGovern asks: Is Nord Stream 2 Dead in the Water?:

 BIDEN: The first question first. If Germany(?) – if Russia invades – t…";0;10;euronews
nonsibicunctis;Thu Feb 10 23:59:32 +0000 2022;RT @jillian_swaine: @bruce_haigh @JustJul77588855 Yes, but it was successful distraction from aged care debacle and the very serious progre…;0;2;euronews
TigerKnowz;Thu Feb 10 23:59:29 +0000 2022;RT @anders_aslund: All reported indications suggest that Russia is preparing a major military assault on Ukraine: Maneuvers in Belarus Febr…;0;449;euronews
SteMartPhotos;Thu Feb 10 23:59:28 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;0;2267;euronews
DrWinTadd;Thu Feb 10 23:59:28 +0000 2022;RT @br_nning: Truss made fool of herself today: Lavrov asked her if she recognises “Russia’s sovereignty over the Rostov and Voronezh regio…;0;887;euronews
ebjiHoi9VOoPMPB;Thu Feb 10 23:59:27 +0000 2022;RT @anders_aslund: All reported indications suggest that Russia is preparing a major military assault on Ukraine: Maneuvers in Belarus Febr…;0;449;euronews
ToferH;Thu Feb 10 23:59:25 +0000 2022;"RT @annalecta: Grateful to be a part of @yanevskyy's @VOANews/@GolosAmeriki segment on Russia's propaganda, lobbying &amp; foreign influence sp…";0;11;euronews
NarinderBassi3;Thu Feb 10 23:59:24 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;0;2267;euronews
torinspiration;Thu Feb 10 23:59:21 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";0;342;euronews
TJ_Nell;Thu Feb 10 23:59:19 +0000 2022;RT @DaveBondyTV: President Biden telling Americans who are in Ukraine to leave now.  He said if a war breaks out with Russia the United Sta…;0;13;euronews
synthemesc;Thu Feb 10 23:59:19 +0000 2022;"RT @usv1980: Russia's Dmitry Kozak confirms - through the 9 hours of talks parties tried to agree a common statement but failed. France &amp; G…";0;128;euronews
