user;date;text;favorite_count;retweet_count;retweeter_usr
_Autumn_Tonic;Sat Feb 12 23:59:37 +0000 2022;RT @APFactCheck: A screenshot of a CNN report has been altered to add a bogus chyron claiming Russia is waiting to capture U.S. weapons bef…;0;1769;catfishyak
Shellzie661;Sat Feb 12 23:59:37 +0000 2022;RT @levparnas: Trump caused the crises that is going on between Russia/Ukraine. When he found out that Ukraine had no chance against Russia…;0;4756;catfishyak
Wingmaster9;Sat Feb 12 23:59:37 +0000 2022;RT @trapwire: Their collection priorities may have shifted in the past several months, but #Russia has always maintained a significant #Int…;0;3;catfishyak
MissyCooper13;Sat Feb 12 23:59:37 +0000 2022;"RT @IndoPac_Info: #US intel: 9 probable #Russian routes into #Ukraine in full-scale invasion

The 2 most extensive invasion scenarios would…";0;68;catfishyak
lee_knuth;Sat Feb 12 23:59:36 +0000 2022;RT @speechboy71: One point that I make in this piece, Biden has clearly delineated US interests vis-a-vis Ukraine, identified the specific…;0;46;catfishyak
SophiaJunz;Sat Feb 12 23:59:36 +0000 2022;RT @levparnas: Trump caused the crises that is going on between Russia/Ukraine. When he found out that Ukraine had no chance against Russia…;0;4756;catfishyak
GapMediaCo;Sat Feb 12 23:59:36 +0000 2022;RT @APFactCheck: A screenshot of a CNN report has been altered to add a bogus chyron claiming Russia is waiting to capture U.S. weapons bef…;0;1769;catfishyak
redhead1012;Sat Feb 12 23:59:36 +0000 2022;RT @sbg1: For those who are convinced that Putin's hatred for independent Ukraine is all about... NATO and 2008, worth watching Viktor Yush…;0;249;catfishyak
MariaSchenetzke;Sat Feb 12 23:59:35 +0000 2022;RT @JuliaDavisNews: Retired senior FSB officer, Major General Savostyanov, spoke out in support of Ivashov's statement, opposing Russia's w…;0;98;catfishyak
Sergiho4;Sat Feb 12 23:59:34 +0000 2022;"RT @business: JUST IN: Joe Biden warns Vladimir Putin of ""severe costs"" if Russia were to invade Ukraine https://t.co/oDR6ITQwrw";0;118;catfishyak
buleste;Sat Feb 12 23:59:34 +0000 2022;RT @APFactCheck: A screenshot of a CNN report has been altered to add a bogus chyron claiming Russia is waiting to capture U.S. weapons bef…;0;1769;catfishyak
froth123;Sat Feb 12 23:59:33 +0000 2022;RT @RampCapitalLLC: BREAKING: TENSIONS ESCALATE AFTER RUSSIA SENDS UKRAINE A CALENDLY LINK FOR INVASION;0;803;catfishyak
Veronic09155606;Sat Feb 12 23:59:33 +0000 2022;RT @SamRamani2: Everyone is predicting war between Russia and Ukraine except Russia and Ukraine;0;12360;catfishyak
CossackCyber;Sat Feb 12 23:59:33 +0000 2022;RT @ACEurasia: #UkraineAlert | Deterring Putin from launching a full-scale invasion of Ukraine is an expensive business, but it is infinite…;0;30;catfishyak
sirenandtheking;Sat Feb 12 23:59:33 +0000 2022;"RT @kylegriffin1: NBC News: President Biden warned Putin that the U.S. and its allies ""will respond decisively and impose swift and severe…";0;1275;catfishyak
ElliAdventurer;Sat Feb 12 23:59:32 +0000 2022;"RT @DerWouter: Would it be easier for Russia to invade the rest of Ukraine (already invaded &amp; took Crimea, of course) if the Trump ""plan"" t…";0;8;catfishyak
mijomojo1;Sat Feb 12 23:59:32 +0000 2022;"RT @JuliaDavisNews: One of those precious headlines in #Russia's state media: ""Will Russia save Ukraine?""

You might wonder: ""Save Ukraine?…";0;392;catfishyak
ODonnellEnterp1;Sat Feb 12 23:59:32 +0000 2022;RT @ErikTiel: There was no war with Trump! Not one! #UkraineCrisis #Ukraine #putin #Poetin #RussiaUkraine #Russia https://t.co/vc8KBMyti4;0;178;catfishyak
XAGPolaco;Sat Feb 12 23:59:31 +0000 2022;RT @nise_yoshimi: whole world shocked as China invades Ukraine and Russia liberates Taiwan;0;107;catfishyak
VejkaVera;Sat Feb 12 23:59:30 +0000 2022;RT @SamRamani2: Everyone is predicting war between Russia and Ukraine except Russia and Ukraine;0;12360;catfishyak
FlawlessMandrin;Sat Feb 12 23:59:30 +0000 2022;"RT @TG22110: About 40% of Americans will blame Biden (Not Putin) if Russia invades Ukraine.  

Let that sink in.";0;857;catfishyak
SpecGhost;Sat Feb 12 23:59:30 +0000 2022;"RT @Matt_VanDyke: World War 3, World War III, and WWIII trending thanks to #Russia bots &amp; propaganda accounts to scare people about #Ukrain…";0;609;catfishyak
rmndza;Sat Feb 12 23:59:29 +0000 2022;RT @RVAwonk: Tulsi Gabbard went on Tucker Carlson’s show last night, and today Russian propaganda outlet RT is using that interview to defe…;0;330;catfishyak
DefiMadison;Sat Feb 12 23:59:28 +0000 2022;"RT @mikealfred: If Russia attacks Ukraine and the Fed raises rates 17x, #Bitcoin is going to $1,000,000 by 2030.

If Russia doesn't attack…";0;406;catfishyak
Trader1Ready;Sat Feb 12 23:59:27 +0000 2022;RT @RampCapitalLLC: BREAKING: TENSIONS ESCALATE AFTER RUSSIA SENDS UKRAINE A CALENDLY LINK FOR INVASION;0;803;catfishyak
SpecGhost;Sat Feb 12 23:59:26 +0000 2022;RT @Matt_VanDyke: Russia may or may not invade #Ukraine, but there won’t be war between the US/NATO and #Russia. Propaganda suggesting that…;0;109;catfishyak
ludahanks;Sat Feb 12 23:59:25 +0000 2022;RT @vorobyov: Look: this Russian is feigning indignation about reports that Russia is planning to set up internment camps after invading Uk…;0;24;catfishyak
