user;date;text;favorite_count;retweet_count;retweeter_usr
Ali_8k;Tue Feb 15 23:59:59 +0000 2022;RT @AdamBienkov: Liz Truss told live on LBC that Russia is pulling troops back from the border with Ukraine, insists that a Russian invasio…;0;66;IanMaher7
BB252555;Tue Feb 15 23:59:59 +0000 2022;"RT @naoyafujiwara: 米謀略当局、ゼロヘッジというサイトでロシアの情報が流れて仕事が邪魔されたって（大笑）

https://t.co/5ahCC4O1cR";0;51;IanMaher7
intelligenz_b;Tue Feb 15 23:59:57 +0000 2022;RT @kofinas: The US strategy vis-a-vis Russia in this ongoing crisis w/Ukraine has been to fight the Kremlin every inch of the way, not on…;0;10;IanMaher7
chi_hova;Tue Feb 15 23:59:53 +0000 2022;RT @Amb_Ulyanov: The international community was warned that about 1 a.m. on February 16 ( I.e. right now, local time in #Ukraine) Russia w…;0;170;IanMaher7
RJSpalding2;Tue Feb 15 23:59:53 +0000 2022;RT @joncoopertweets: President Biden used his White House speech to deter a Russian invasion of Ukraine: “To the citizens of Russia, you ar…;0;392;IanMaher7
krissybumblebee;Tue Feb 15 23:59:52 +0000 2022;RT @AdamKinzinger: If #Russia attacks #Ukraine, standby for the deniers and “blame America” crowd like @TuckerCarlson to claim that somehow…;0;4278;IanMaher7
waxandgoldpod;Tue Feb 15 23:59:52 +0000 2022;"RT @jseldin: NEW: @POTUS not alone saying #Russia amassed 150,000 troops along #Ukraine's borders

New report from #Estonia's foreign intel…";0;73;IanMaher7
otaranuk;Tue Feb 15 23:59:50 +0000 2022;"RT @POTUS: From the beginning of this crisis, I have been clear and consistent: The United States is prepared no matter what happens.  
 
W…";0;5411;IanMaher7
DDIGITALMEDIA;Tue Feb 15 23:59:49 +0000 2022;"RT @WritesBright: 🔴 NEW 🔴

The UK government has approved considerably more military exports to Russia than to Ukraine since 2010 – includi…";0;464;IanMaher7
carefuluser;Tue Feb 15 23:59:49 +0000 2022;RT @ZuzanaCaputova: #Ukraine’s territorial integrity, including in #Donbas, is not for #Russia’s parliament to dictate. It is solely for th…;0;190;IanMaher7
auntoona;Tue Feb 15 23:59:48 +0000 2022;RT @JRubinBlogger: It should be no surprise that MAGA cultists have been soft on Russia. Trump spent much of his presidency conducting a pr…;0;392;IanMaher7
waxandgoldpod;Tue Feb 15 23:59:48 +0000 2022;"RT @jseldin: Per #Estonia's foreign intelligence service, #Russia's deployed:

-3 motor rifle divisions
-1 airborne division
-1 naval infan…";0;31;IanMaher7
KatieFr_inAZ39;Tue Feb 15 23:59:48 +0000 2022;RT @GoonersDream: @TheLastRefuge2 Sundance, even earlier it was known 😂😂😂😂. This was November 29th, 2021 https://t.co/nOUjmHQjcw;0;21;IanMaher7
Zhatil2;Tue Feb 15 23:59:47 +0000 2022;"RT @BulletinAtomic: ""Like other labs affiliated with the US threat reduction program, the Ukrainian labs have been targeted by #disinformat…";0;4;IanMaher7
byrnepaulj;Tue Feb 15 23:59:47 +0000 2022;RT @DLBiller: More on Bolsonaro's Russia trip and its questionable timing in our story yesterday: https://t.co/qFcavn2gi4;0;8;IanMaher7
Agent_StevieP;Tue Feb 15 23:59:47 +0000 2022;"RT @justifyRed: Video Evidence of the Situation with Ukraine and Russia 🤭👀

Bro they got it. Ain’t no need for the US to go over there. htt…";0;482;IanMaher7
ElbridgeColby;Tue Feb 15 23:59:46 +0000 2022;RT @StanfordSAPARC: America’s European allies are better positioned to deal with Russia than America’s Asian allies are with China, write @…;0;2;IanMaher7
benbaca2015;Tue Feb 15 23:59:45 +0000 2022;"RT @CurtisHouck: Annnnd, of course, Biden leaves following his remarks on the Russia-Ukraine crisis without taking questions.

Biden walkin…";0;79;IanMaher7
colt745flockin1;Tue Feb 15 23:59:45 +0000 2022;RT @ABCWorldNews: LATEST: Pres. Biden warned Russian Pres. Vladimir Putin in remarks from the White House that if Russia invades Ukraine, t…;0;6;IanMaher7
saerinn;Tue Feb 15 23:59:43 +0000 2022;"RT @naoyafujiwara: 米謀略当局、ゼロヘッジというサイトでロシアの情報が流れて仕事が邪魔されたって（大笑）

https://t.co/5ahCC4O1cR";0;51;IanMaher7
_jeffscott;Tue Feb 15 23:59:43 +0000 2022;"RT @StateDept: .@POTUS: The U.S &amp; NATO are not a threat to Russia. We’re not targeting the people of Russia. To the citizens of Russia: you…";0;318;IanMaher7
MFreireB_;Tue Feb 15 23:59:42 +0000 2022;RT @RT_com: Mystery US helicopter lands on Ukraine-Poland border https://t.co/Qou704KtSc;0;69;IanMaher7
utcplus9;Tue Feb 15 23:59:41 +0000 2022;RT @UkrWarReport: 🇷🇺⚡️Russian troops have moved into 'firing positions' near Ukraine, no sign of Russia pulling back troops - US Official t…;0;85;IanMaher7
Bruceneeds2know;Tue Feb 15 23:59:41 +0000 2022;RT @Andrew__Roth: While the world is focused on Russia's buildup near Ukraine, Alexei @navalny is facing charges that could keep him in pri…;0;799;IanMaher7
Tamiliniadmk;Tue Feb 15 23:59:39 +0000 2022;RT @UkrWarReport: 🇷🇺⚡️Russian troops have moved into 'firing positions' near Ukraine, no sign of Russia pulling back troops - US Official t…;0;85;IanMaher7
waxandgoldpod;Tue Feb 15 23:59:39 +0000 2022;"RT @jseldin: ""In our assessment, the #Russia|n Armed Forces are ready to embark on a full-scale military operation against #Ukraine from th…";0;11;IanMaher7
LuxandraV;Tue Feb 15 23:59:39 +0000 2022;"RT @cspan: President Biden: ""If Russia attacks Ukraine it would be a war of choice or a war without cause or reason...If Russia invades Ukr…";0;102;IanMaher7
yohiobaseball;Tue Feb 15 23:59:38 +0000 2022;RT @TheLastRefuge2: https://t.co/vSabRQnEGP;0;24;IanMaher7
ussenterprise13;Tue Feb 15 23:59:37 +0000 2022;RT @RT_com: Mystery US helicopter lands on Ukraine-Poland border https://t.co/Qou704KtSc;0;69;IanMaher7
waxandgoldpod;Tue Feb 15 23:59:36 +0000 2022;"RT @jseldin: ""Should #Russia achieve its goals in #Ukraine, political and military pressure on the #Baltic states could increase"" per #Esto…";0;5;IanMaher7
drackcove;Tue Feb 15 23:59:35 +0000 2022;"RT @POTUS: From the beginning of this crisis, I have been clear and consistent: The United States is prepared no matter what happens.  
 
W…";0;5411;IanMaher7
dree_kelly;Tue Feb 15 23:59:35 +0000 2022;"RT @WC_WhoCares: This is in Ukraine. Kharkiv is mostly off screen to the right. The distant left lights are probably Belgorod (Russia)

acc…";0;1;IanMaher7
yohiobaseball;Tue Feb 15 23:59:35 +0000 2022;RT @TheLastRefuge2: https://t.co/wL2glH1JDE;0;45;IanMaher7
KatieFr_inAZ39;Tue Feb 15 23:59:35 +0000 2022;RT @TheLastRefuge2: https://t.co/vSabRQnEGP;0;24;IanMaher7
PhoenixWomanMN;Tue Feb 15 23:59:34 +0000 2022;"RT @JuliaDavisNews: Right on cue, #Russia's state media is already spreading outrageously false claims and fake ""warnings,"" aided by pro-Kr…";0;330;IanMaher7
CGWJS54139911;Tue Feb 15 23:59:33 +0000 2022;RT @abcnews: 'He will go to the frontline': This family doesn't believe Russia is pulling back and will defend their country if needed http…;0;4;IanMaher7
insunlite;Tue Feb 15 23:59:33 +0000 2022;"RT @ajamubaraka: Eurocentrism is so normalized as to be invisible. Again, the U.S. &amp; Europe make up 10% of the global population. Is Ukrain…";0;22;IanMaher7
NovaShpakova;Tue Feb 15 23:59:31 +0000 2022;"RT @NovaShpakova: Wait, wait, I thought they were enemies? Russian investment in Ukraine breaks record.😲
2016-17, Russia moved to be the #1…";0;6;IanMaher7
ThewheeldealM;Tue Feb 15 23:59:31 +0000 2022;RT @TrumpWarRoom: https://t.co/ZXLjbBlyUz;0;116;IanMaher7
TjSierra60;Tue Feb 15 23:59:30 +0000 2022;RT @FirstSquawk: UKRAINE'S CYBERSECURITY CENTER SAYS WEBSITES OF DEFENCE MINISTRY, PRIVATBANK AND OSHADBANK ARE UNDER DDOS ATTACK - RUSSIA'…;0;77;IanMaher7
marzena2004;Tue Feb 15 23:59:30 +0000 2022;RT @JoeConchaTV: Biden takes zero questions after remarks (11 minutes) on Russia-Ukraine.;0;741;IanMaher7
DougSco26903450;Tue Feb 15 23:59:29 +0000 2022;"RT @afshinrattansi: Rupert Murdoch's @TheSun knows...or does he?
#Ukraine 
https://t.co/P1Dj4R9Xq4 https://t.co/QVJsYKK8u0";0;15;IanMaher7
RVillemomble;Tue Feb 15 23:59:28 +0000 2022;RT @RT_com: Ukraine reports massive cyber attack https://t.co/mldPjBvToj;0;94;IanMaher7
LeChatNoire4;Tue Feb 15 23:59:28 +0000 2022;RT @JRubinBlogger: It should be no surprise that MAGA cultists have been soft on Russia. Trump spent much of his presidency conducting a pr…;0;392;IanMaher7
Narayan83281;Tue Feb 15 23:59:27 +0000 2022;RT @AFP: Timeline of the stand-off between Ukraine and Russia #AFPgraphics https://t.co/in7wMbrwaC;0;44;IanMaher7
yohiobaseball;Tue Feb 15 23:59:27 +0000 2022;"RT @TheLastRefuge2: 🤣😂🤣.... I can't with this.

The entire Russia-Ukraine nonsense was made up.  Russia was conducting regularly scheduled…";0;333;IanMaher7
C1Censored;Tue Feb 15 23:59:27 +0000 2022;RT @flightswerner: Dow Rises, Oil Slips, Amid Report Some Russian Troops Have Left Ukraine Border—and What Else Is Happening in the Stock M…;0;42;IanMaher7
turbokilleer;Tue Feb 15 23:59:25 +0000 2022;RT @EndGameWW3: Russia notifies OSCE it will not take part in Ukraine-requested consultations — diplomat https://t.co/z8KRebeCDT;0;58;IanMaher7
davidfrostnz;Tue Feb 15 23:59:24 +0000 2022;RT @AP: U.S. intelligence officials allege a conservative financial website with a significant U.S. readership is amplifying Kremlin propag…;0;3733;IanMaher7
DoremusJ;Tue Feb 15 23:59:24 +0000 2022;"RT @thehill: ""Indeed, our analysts indicate they remain very much in a threatening position. And the fact remains right now Russia has 150,…";0;5;IanMaher7
cwebb1024;Tue Feb 15 23:59:24 +0000 2022;RT @joncoopertweets: President Biden used his White House speech to deter a Russian invasion of Ukraine: “To the citizens of Russia, you ar…;0;392;IanMaher7
livegreenordie;Tue Feb 15 23:59:24 +0000 2022;RT @ChristopherJM: The reason this is noteworthy is because a conventional Russian military strike is likely to be proceeded by/launched in…;0;278;IanMaher7
hirekeenan;Tue Feb 15 23:59:22 +0000 2022;RT @AP: U.S. intelligence officials allege a conservative financial website with a significant U.S. readership is amplifying Kremlin propag…;0;3733;IanMaher7
Conrad62181449;Tue Feb 15 23:59:21 +0000 2022;"RT @realLizUSA: ICYMI: ""Fast growing number of Democrats want Hillary Clinton investigated for her role in Russiagate""

https://t.co/sPfyFf…";0;487;IanMaher7
GodessofChaos71;Tue Feb 15 23:59:21 +0000 2022;RT @John_Hudson: Putin says Russia has been told Ukraine will not become a NATO member in the near future, but adds that the assurance does…;0;264;IanMaher7
iamforeverblue2;Tue Feb 15 23:59:21 +0000 2022;RT @McFaul: Biden just delivered a terrific speech on American interests in the Russia-Ukraine crisis. Read it. Watch it.;0;2530;IanMaher7
ElbridgeColby;Tue Feb 15 23:59:21 +0000 2022;RT @osmastro: Bottom line: Taiwan is more important than Ukraine. @ElbridgeColby and I explain why @WSJ. https://t.co/5Jd3BNef8M;0;14;IanMaher7
BetsyBG;Tue Feb 15 23:59:17 +0000 2022;"RT @CBSWalsh: @CBSDavidMartin reporting US can see Russia units moving out of assembly areas toward the Ukraine border; it looks like Russi…";0;479;IanMaher7
erazoricardo09;Tue Feb 15 23:59:17 +0000 2022;RT @CNNPolitics: President Biden says the US is ready to “give the diplomacy every chance to succeed” in defusing the Russia-Ukraine crisis…;0;51;IanMaher7
ERANewsStuff;Tue Feb 15 23:59:17 +0000 2022;"RT @thehill: ""Indeed, our analysts indicate they remain very much in a threatening position. And the fact remains right now Russia has 150,…";0;5;IanMaher7
waxandgoldpod;Tue Feb 15 23:59:15 +0000 2022;"RT @shashj: ""Meeting with Ukrainian security officials there is a widespread acknowledgement that many of their colleagues – even in some q…";0;69;IanMaher7
j_arthur_bloom;Tue Feb 15 23:59:15 +0000 2022;"RT @Shayan86: Amazing. In a message to Vladimir Putin, QAnon ""Queen of Canada"" Romana Didulo rejects Ukraine's ""application to join Nato"" a…";0;184;IanMaher7
ferguson2811;Tue Feb 15 23:59:14 +0000 2022;"RT @WritesBright: 🔴 NEW 🔴

The UK government has approved considerably more military exports to Russia than to Ukraine since 2010 – includi…";0;464;IanMaher7
KMamaBear03;Tue Feb 15 23:59:11 +0000 2022;RT @JuliaDavisNews: Zero Hedge has published numerous articles that accused the US of fomenting panic about Ukraine. Some of them were writ…;0;214;IanMaher7
nevertrump76;Tue Feb 15 23:59:11 +0000 2022;RT @catfishyak: It’s being reported that Russia has cyber attacked Ukraine’s ministry of defense. Here we go🤦‍♀️;0;243;IanMaher7
Bayoupolitics;Tue Feb 15 23:59:11 +0000 2022;"RT @CBSWalsh: @CBSDavidMartin reporting US can see Russia units moving out of assembly areas toward the Ukraine border; it looks like Russi…";0;479;IanMaher7
koje72;Tue Feb 15 23:59:10 +0000 2022;"RT @POTUS: From the beginning of this crisis, I have been clear and consistent: The United States is prepared no matter what happens.  
 
W…";0;5411;IanMaher7
ShaiBaeee;Tue Feb 15 23:59:10 +0000 2022;RT @BlackAndSuper: Ima keep it a buck: i do not care about that Ukraine and Russia conflict.;0;4;IanMaher7
billyintexxas33;Tue Feb 15 15:01:10 +0000 2022;"RT @Internl_Leaks: #BREAKING: German Chancellor Olaf Scholz said at a news conference with Russian President Vladimir Putin, ""That we hear…";0;5;IanMaher7
Vi_onthevine;Tue Feb 15 15:01:08 +0000 2022;"RT @CarrieFightsOn: Hmm no longer just a vast right-wing conspiracy…
https://t.co/g0obpOv7KG";0;228;IanMaher7
RobertF23004448;Tue Feb 15 15:01:08 +0000 2022;RT @ASBMilitary: Ukraine: “We and our western allies have deterred Russia and prevented an escalation”;0;54;IanMaher7
delunadiego;Tue Feb 15 15:01:07 +0000 2022;"RT @Channel4News: Russia's ""mixed signals"" over an invasion of Ukraine are a reason to ""remain very tough"" on economic sanctions.

Boris Jo…";0;8;IanMaher7
ShriRamJayam;Tue Feb 15 15:01:07 +0000 2022;"RT @Hiranyareta: ""In a world where Germany and Russia are friends and trading partners, there is no need for US military bases, no need for…";0;12;IanMaher7
Barbara72468224;Tue Feb 15 15:01:07 +0000 2022;RT @jsolomonReports: Russia says pulling back some forces following military training drills near Ukraine | Just The News https://t.co/KBmP…;0;32;IanMaher7
taddihno;Tue Feb 15 15:01:06 +0000 2022;RT @cnnbrk: Russia says it's withdrawing some troops following drills around Ukraine, though other military exercises will continue https:/…;0;290;IanMaher7
AnthonyHSalvat1;Tue Feb 15 15:01:06 +0000 2022;RT @nytimes: As tensions escalate over Ukraine, President Vladimir Putin has been trying to expand Russia’s influence in Latin America. He…;0;122;IanMaher7
FiunteSamuel;Tue Feb 15 15:01:06 +0000 2022;RT @brokenbottleboy: In her latest piece for The Atlantic, Anne Applebaum daydreams a Love Actually-style speech for Liz Truss. Must be goo…;0;18;IanMaher7
AmitSin63274015;Tue Feb 15 15:01:05 +0000 2022;RT @republic: #BREAKING | Amid the heightened tensions over Ukraine crisis, Russian President Vladimir Putin says Russia is ready to discus…;0;7;IanMaher7
IAMDSCHENK;Tue Feb 15 15:01:05 +0000 2022;"RT @ChuckCallesto: BREAKING REPORT: US offers Ukraine ONE BILLION DOLLAR loan guarantee...

RUSSIA begins a TROOP WITHDRAWAL.. 🤔";0;1971;IanMaher7
Jus_Curt;Tue Feb 15 15:01:04 +0000 2022;"RT @GeromanAT: NATO to Russia:
Do not invade Ukraine
Russia: we don't want to
NATO: we warn you - if you go in in January we will sanction…";0;195;IanMaher7
mare69509315;Tue Feb 15 15:01:04 +0000 2022;"RT @TsFa30428176: Do western countries benefit from war?
 In #EthiopiaPrevails they support the #TPLFTerroristGroup TDF to destabilize East…";0;60;IanMaher7
ReginaldALawso1;Tue Feb 15 15:01:04 +0000 2022;"RT @olgatokariuk: ""We'll believe it when we see it"": the reaction of Ukraine's foreign minister Dmytro Kuleba to the news that Russia annou…";0;179;IanMaher7
mandkhel;Tue Feb 15 15:01:04 +0000 2022;RT @AHMAD_ALWAHIDAH: The Secretary-General of the United Nations warns of the war of Russia and Ukraine, which has not yet begun, and ignor…;0;289;IanMaher7
