user;date;text;favorite_count;retweet_count;retweeter_usr
LiberalDsa;Sun Feb 13 23:59:58 +0000 2022;RT @vanillatary: In 2012 Ukrainian support for joining NATO was ~15%. Very few were discussing it in any serious capacity. After Russia inv…;0;97;ProfPaulPoast
Oleg_Melnyk;Sun Feb 13 23:59:58 +0000 2022;RT @Russian_Starr: If you are a progressive, you should support supplying Ukraine with military aid and sanctioning Russia’s elite. We can’…;0;266;ProfPaulPoast
Affronter84;Sun Feb 13 23:59:57 +0000 2022;"RT @MaryKostakidis: CIA Director William Burns’ cable in 2008, released by @wikileaks 
on Ukraine and Russia https://t.co/SoKIj183QD";0;866;ProfPaulPoast
RichesonCarol;Sun Feb 13 23:59:56 +0000 2022;RT @DAlperovitch: Sanctions on NS2 seem to be a certainty but they are not going to matter much to Putin in the event that Russia actually…;0;58;ProfPaulPoast
TBaz20050799;Sun Feb 13 23:59:56 +0000 2022;RT @WhiteHouse: .@POTUS spoke with President Zelenskyy today to make clear the U.S. would respond swiftly and decisively to any further Rus…;0;1694;ProfPaulPoast
SjDHE0xGbeKIRlt;Sun Feb 13 23:59:55 +0000 2022;RT @G74ITA: @TgLa7 Ma vi  rendete conto,  invece di pensare a riprendersi dalla pandemia,  ci mettiamo a fare la guerra contro la #Russia,…;0;1;ProfPaulPoast
hunterfphoto1;Sun Feb 13 23:59:55 +0000 2022;RT @brhodes: There is something very odd about people who usually lament imperialism acting like it’d be normal for Russia to dominate Ukra…;0;1180;ProfPaulPoast
alportog;Sun Feb 13 23:59:55 +0000 2022;"RT @i24NEWS_EN: Turkey walks tightrope between #Russia and Ukraine as a #NATO ally:

'Ultimately, #Turkey has deep relations with Russia, b…";0;11;ProfPaulPoast
CalMatthew1;Sun Feb 13 23:59:54 +0000 2022;RT @levparnas: Trump caused the crises that is going on between Russia/Ukraine. When he found out that Ukraine had no chance against Russia…;0;4756;ProfPaulPoast
MariEdinburgh;Sun Feb 13 23:59:54 +0000 2022;"RT @AgnesCPoirier: ""No one has suggested that the proper response to Putin’s information war on our political system would be an informatio…";0;26;ProfPaulPoast
Real_Wakawaka;Sun Feb 13 23:59:53 +0000 2022;RT @The_Real_Fly: RUSSIA’S 1ST GUARDS TANK ARMY IS MOVING CLOSE TO UKRAINE BORDER, HIGH POWERED ARTILLERY ALSO BEING DEPLOYED IN THE BELGOR…;0;44;ProfPaulPoast
paperdotty;Sun Feb 13 23:59:53 +0000 2022;RT @RealCandaceO: The best part is that the Ukrainian President has asked the CIA to provide proof that Russia is planning to invade and th…;0;3478;ProfPaulPoast
2hunglow1;Sun Feb 13 23:59:52 +0000 2022;RT @laurenboebert: The US is telling Americans to leave Ukraine, but ensure they have a vaccine passport and hopefully a PCR test to pass t…;0;2181;ProfPaulPoast
alenoushik7;Sun Feb 13 23:59:51 +0000 2022;"RT @Lily__Ray: Hey @NATO, sharing this in case busy with Russia-Ukraine &amp; not catching up with news from #Turkey. 
""The Turkish foreign min…";0;4;ProfPaulPoast
crypto_gauntlet;Sun Feb 13 23:59:50 +0000 2022;RT @goodblackdude: BREAKING: Ukrainian President Volodymyr Zelensky invites Joe Biden to Ukraine to “contribute to de-escalation” with Russ…;0;118;ProfPaulPoast
prasadhemant;Sun Feb 13 23:59:49 +0000 2022;"RT @sidhant: Internationally:
-Munich Security conference from 18th to 20th Feb

-Russia to hold UNSC meet on Ukraine on 17th (Titled Imple…";0;28;ProfPaulPoast
darlaseven;Sun Feb 13 23:59:49 +0000 2022;RT @AJEnglish: Biden promises ‘swift’ response if Russia invades Ukraine  https://t.co/ezx4kFZcl4;0;48;ProfPaulPoast
SmithPauli;Sun Feb 13 23:59:44 +0000 2022;"RT @InformNapalm: 🔥 Updated. Proofs of the #RussianAggression: InformNapalm releases extensive database of evidence.
https://t.co/gqSgX7y8Y…";0;53;ProfPaulPoast
