user;date;text;favorite_count;retweet_count;retweeter_usr
vroomjay;Fri Feb 11 23:59:59 +0000 2022;RT @business: Presidents Joe Biden and Vladimir Putin will speak Saturday https://t.co/xCHD8Vu2js;0;21;FinancialTimes
arjbvmtc;Fri Feb 11 23:59:57 +0000 2022;RT @PalmerReport: If the media tries to blame Biden for this Russia-Ukraine mess, after Trump spent four years sabotaging Ukraine on Russia…;0;1930;FinancialTimes
Scotttaylorva;Fri Feb 11 23:59:57 +0000 2022;RT @nadia_bilbassy: President Biden and President Putin of Russia will be speaking on Saturday morning. Russia proposed a call Monday. The…;0;2;FinancialTimes
FAX_online;Fri Feb 11 23:59:57 +0000 2022;RT @AnastasiaLine: The Ukraine says Russia is not going to invade. Russia says Russia is not going to invade. But the US says... 🤦‍♀️;0;3;FinancialTimes
VenomPit360;Fri Feb 11 23:59:56 +0000 2022;RT @JewishResister: It's incredible MAGA GOP are blaming Russia invading Ukraine on Biden, while Trump literally licked Putin's asshole on…;0;32;FinancialTimes
MisterE3455678;Fri Feb 11 23:59:56 +0000 2022;RT @PalmerReport: If the media tries to blame Biden for this Russia-Ukraine mess, after Trump spent four years sabotaging Ukraine on Russia…;0;1930;FinancialTimes
FerrisNed;Fri Feb 11 23:59:56 +0000 2022;RT @POTUS: I spoke today with transatlantic leaders to discuss our concerns about Russia’s military build-up around Ukraine. We are united…;0;2898;FinancialTimes
philoanth;Fri Feb 11 23:59:55 +0000 2022;RT @JuliaDavisNews: A key Russia expert and two other defense experts are being blocked from joining the Pentagon by GOP Sen. Josh Hawley,…;0;4171;FinancialTimes
dsgnr3;Fri Feb 11 23:59:55 +0000 2022;RT @Reuters: U.S. Secretary of State Antony Blinken warned that Russia is massing yet more troops near Ukraine and could attack in days or…;0;154;FinancialTimes
ldaverio;Fri Feb 11 23:59:54 +0000 2022;"RT @EuromaidanPress: A sarcastic post from one of the Ukrainian MPs. 
In 1994 Ukraine gave up its nuclear arsenal in exchange for security…";0;25;FinancialTimes
not_spookyguns;Fri Feb 11 23:59:54 +0000 2022;RT @thekarami: took 2 years into a pandemic to send American homes 4 Covid tests but Ukraine might fight Russia so they get a gazillion wea…;0;315;FinancialTimes
Ilovekanikama;Fri Feb 11 23:59:54 +0000 2022;"RT @Yuto_gahagaha: 🌏西側諸国
ロシア軍: ウクライナ国境付近に13万人が配備されていると推定

The U.S. and other nations estimate Russia now has 130,000 troops near Ukraine bo…";0;24;FinancialTimes
quadcoin18;Fri Feb 11 23:59:52 +0000 2022;RT @BTCGandalf: Why does the US care what Russia does with Ukraine?;0;38;FinancialTimes
wj3Kdz8TXpfykRC;Fri Feb 11 23:59:49 +0000 2022;RT @ReutersWorld: Russia has enough troops massed to invade Ukraine, U.S. says https://t.co/G74mMtQAKe https://t.co/QhxZsAFcJt;0;6;FinancialTimes
KeithJRN;Fri Feb 11 23:59:49 +0000 2022;RT @_JakubJanda: When is the German government killing Nord Stream 2 as Russia is about to launch a massive attack on Ukraine?;0;76;FinancialTimes
emtcvtcpht;Fri Feb 11 23:59:48 +0000 2022;RT @BlackKnight10k: Conservatives wants Russia to invade Ukraine and destabilize Europe, migrant trucker caravns to shut down our economy,…;0;186;FinancialTimes
1968shazzy;Fri Feb 11 23:59:48 +0000 2022;RT @natehiggins: We have a Prime Minister distracted with hiding from a potential COVID fine instead of governing the country during a cost…;0;4;FinancialTimes
Tillett4CT;Fri Feb 11 23:59:48 +0000 2022;"RT @PhilipWegmann: President Biden took selfies and shook hands with staff ahead of his departure to Camp David. 

Half an hour ago, @JakeS…";0;888;FinancialTimes
cmccaff542;Fri Feb 11 23:59:47 +0000 2022;RT @GordonGChang: The calendar says it’s 2022, but it sure feels like 1939. #Russia #Ukraine;0;333;FinancialTimes
RB_Phan;Fri Feb 11 23:59:47 +0000 2022;RT @DmytroKuleba: We have officially triggered the risk reduction mechanism in accordance with para. III of the Vienna Document, and reques…;0;1400;FinancialTimes
Susie39212967;Fri Feb 11 23:59:47 +0000 2022;RT @RobertMihaly1: @GretaGrace20 @TheRickWilson And did you catch the story about #Putin's superyacht being moved from a German shipyard to…;0;8;FinancialTimes
pepperpol;Fri Feb 11 23:59:46 +0000 2022;"RT @johncardillo: The flip side of this could be that Biden &amp; Co. are doing Russia’s bidding by creating panic to pressure Ukraine into con…";0;68;FinancialTimes
cannoneerno4;Fri Feb 11 23:59:46 +0000 2022;RT @GordonGChang: The calendar says it’s 2022, but it sure feels like 1939. #Russia #Ukraine;0;333;FinancialTimes
jen4park;Fri Feb 11 23:59:46 +0000 2022;RT @vikrammahajan: #US #F15 fighter jets land in #Poland, says #Warsaw's defence minister, as #NATO beefs up the military presence on its e…;0;8;FinancialTimes
usha_kaul;Fri Feb 11 23:59:45 +0000 2022;"RT @palkisu: Ukraine’s allies won’t get their hands dirty. Shuttle diplomacy isn’t delivering. What’s their strategy? 
1. Russia will chang…";0;126;FinancialTimes
Mihemed;Fri Feb 11 23:59:44 +0000 2022;RT @AndyVermaut: Andy Vermaut shares:US, Russia Army Chiefs Discuss Ukraine Crisis In Phone Call: Top US General Mark Milley spoke by telep…;0;1;FinancialTimes
BlairRomance;Fri Feb 11 23:59:44 +0000 2022;"RT @JDRucker: Biden: Russia will invade Ukraine any moment!

Also Biden: If y'all need me I'll be on my weekly vacay in Delaware.";0;17;FinancialTimes
cllrtrisosborne;Fri Feb 11 23:59:44 +0000 2022;RT @RALee85: Russia normally has 35-40 BTGs permanently based near Ukraine, it now has 100 and counting plus 6 additional large landing shi…;0;261;FinancialTimes
surcomplicated;Fri Feb 11 23:59:43 +0000 2022;"RT @Noahpinion: OK, Ukraine-Russia list is up! 

Send any suggestions for additions (but check to see if they're already on the list). List…";0;16;FinancialTimes
Sandylo44879924;Fri Feb 11 23:59:42 +0000 2022;RT @mchooyah: Russia is not going to invade Ukraine. As much as our dear generals who work as contractors would like them to.;0;1758;FinancialTimes
tonycanales;Fri Feb 11 23:59:41 +0000 2022;RT @vikrammahajan: #US #F15 fighter jets land in #Poland, says #Warsaw's defence minister, as #NATO beefs up the military presence on its e…;0;8;FinancialTimes
GregDjerejian;Fri Feb 11 23:59:41 +0000 2022;RT @BH_Friedman: We don’t know because we refused to try—it appears we risked a Russian invasion of Ukraine to serve the open door principl…;0;19;FinancialTimes
PerryFingal;Fri Feb 11 23:59:40 +0000 2022;RT @JuliaDavisNews: A key Russia expert and two other defense experts are being blocked from joining the Pentagon by GOP Sen. Josh Hawley,…;0;4171;FinancialTimes
bybella_bella;Fri Feb 11 23:59:40 +0000 2022;RT @Reuters: White House national security adviser Jake Sullivan said that a Russian attack on Ukraine could begin any day now and would li…;0;221;FinancialTimes
vatic_bojana;Fri Feb 11 23:59:38 +0000 2022;RT @USEmbassyKyiv: Fifteen flights – and more to come. Another ~90 tons of Javelins, ammunition, and defensive assistance authorized by @PO…;0;412;FinancialTimes
Bellarusque;Fri Feb 11 23:59:37 +0000 2022;RT @juliaioffe: If you're freaked out by the news today that Russia might finally invade Ukraine, but don't understand what's in it for Rus…;0;57;FinancialTimes
usha_kaul;Fri Feb 11 23:59:37 +0000 2022;"RT @palkisu: 🧵 War or not, Ukraine is losing. Here’s why:
Ukraine gave up nukes for security guarantees 3 decades ago (Budapest Agreement).…";0;1034;FinancialTimes
ibayram1010;Fri Feb 11 23:59:36 +0000 2022;"RT @Boran_Tekinn: Ve #savaş başlıyor ‼️
Rusya tam sınırda

🇷🇺⚡️🇺🇦 
#Ukraine #Russia https://t.co/6T7EPMrBty";0;14;FinancialTimes
OswaldRachel;Fri Feb 11 23:59:36 +0000 2022;RT @zachsdorfman: Just want to pause for a second to acknowledge that, if Russia does indeed launch a new war against Ukraine, the Ukrainia…;0;1270;FinancialTimes
GrossAmilee;Fri Feb 11 23:59:36 +0000 2022;RT @kylegriffin1: WASHINGTON (AP) — White House urges Americans to leave Ukraine in next '24 to 48 hours,' warns US won't rescue civilians…;0;1579;FinancialTimes
JusPlainTalk101;Fri Feb 11 23:59:36 +0000 2022;RT @maddenifico: To be openly rooting for President Putin and Russia to wipe out our allies in Ukraine — it's stunning how much the Trump-R…;0;449;FinancialTimes
pmoni13;Fri Feb 11 23:59:36 +0000 2022;"RT @LloydHardy: Thursday: Liz Truss flies to Moscow to make Peace with Russia

Friday: Leave Ukraine now, Britons are told by Foreign Offic…";0;434;FinancialTimes
desmith1426;Fri Feb 11 23:59:36 +0000 2022;RT @JuliaDavisNews: A key Russia expert and two other defense experts are being blocked from joining the Pentagon by GOP Sen. Josh Hawley,…;0;4171;FinancialTimes
Susie39212967;Fri Feb 11 23:59:36 +0000 2022;"RT @CathyJoeGPT: @TheRickWilson I feel so bad for the people of Ukraine - They just want Russia to leave them alone &amp; not kill their childr…";0;13;FinancialTimes
iJancy;Fri Feb 11 23:59:35 +0000 2022;RT @mchooyah: Russia is not going to invade Ukraine. As much as our dear generals who work as contractors would like them to.;0;1758;FinancialTimes
LawrenceConnol2;Fri Feb 11 23:59:34 +0000 2022;RT @MarkUrban01: We are at one minute to midnight now in this Ukraine crisis. The failure of Ukraine/Russia talks in Berlin yesterday creat…;0;393;FinancialTimes
diannemando;Fri Feb 11 23:59:34 +0000 2022;"RT @JuliaDavisNews: Russian Foreign Ministry Spokeswoman Maria Zakharova said all this⤵️, but never uttered the only thing that matters: ""R…";0;208;FinancialTimes
TheLastMaquis;Fri Feb 11 23:59:34 +0000 2022;"RT @SpiritofHo: US threatens to start WWIII with Russia over Ukraine by telling WMDs-type lies.

US kills more than a dozen Syrians in a ni…";0;164;FinancialTimes
raghavgaur95;Fri Feb 11 23:59:33 +0000 2022;RT @RhythmicAnalyst: Commodities are spiking up amid Russia - Ukraine situation. https://t.co/x4QfLWMoCD;0;1;FinancialTimes
tomasrabago1;Fri Feb 11 23:59:33 +0000 2022;"RT @JuliaDavisNews: Russian Foreign Ministry Spokeswoman Maria Zakharova said all this⤵️, but never uttered the only thing that matters: ""R…";0;208;FinancialTimes
LindaHooker17;Fri Feb 11 23:59:32 +0000 2022;RT @prairielive: As military buildups continue by both Russian and NATO forces around Ukraine, European leaders have gone into diplomatic o…;0;1;FinancialTimes
